date;time;Radiação,Global[W/m2];P_Tracker1;P_Tracker2;P_Tracker3;P_Tracker4;Ptotal
05/05/2023;00:00:00;-3.281156;0;0;0;0;0
05/05/2023;00:01:00;-3.120431;0;0;0;0;0
05/05/2023;00:02:00;-2.85544;0;0;0;0;0
05/05/2023;00:03:00;-2.861512;0;0;0;0;0
05/05/2023;00:04:00;-2.885101;0;0;0;0;0
05/05/2023;00:05:00;-2.897663;0;0;0;0;0
05/05/2023;00:06:00;-2.997182;0;0;0;0;0
05/05/2023;00:07:00;-3.318913;0;0;0;0;0
05/05/2023;00:08:00;-3.167469;0;0;0;0;0
05/05/2023;00:09:00;-3.039475;0;0;0;0;0
05/05/2023;00:10:00;-3.033264;0;0;0;0;0
05/05/2023;00:11:00;-2.937303;0;0;0;0;0
05/05/2023;00:12:00;-3.118407;0;0;0;0;0
05/05/2023;00:13:00;-2.940374;0;0;0;0;0
05/05/2023;00:14:00;-2.967313;0;0;0;0;0
05/05/2023;00:15:00;-2.931092;0;0;0;0;0
05/05/2023;00:16:00;-2.9484;0;0;0;0;0
05/05/2023;00:17:00;-2.844483;0;0;0;0;0
05/05/2023;00:18:00;-2.882309;0;0;0;0;0
05/05/2023;00:19:00;-2.946864;0;0;0;0;0
05/05/2023;00:20:00;-2.909038;0;0;0;0;0
05/05/2023;00:21:00;-3.18359;0;0;0;0;0
05/05/2023;00:22:00;-3.218764;0;0;0;0;0
05/05/2023;00:23:00;-3.09433;0;0;0;0;0
05/05/2023;00:24:00;-2.94149;0;0;0;0;0
05/05/2023;00:25:00;-2.949377;0;0;0;0;0
05/05/2023;00:26:00;-3.025028;0;0;0;0;0
05/05/2023;00:27:00;-3.066065;0;0;0;0;0
05/05/2023;00:28:00;-3.067531;0;0;0;0;0
05/05/2023;00:29:00;-3.015677;0;0;0;0;0
05/05/2023;00:30:00;-3.147998;0;0;0;0;0
05/05/2023;00:31:00;-2.916227;0;0;0;0;0
05/05/2023;00:32:00;-2.741334;0;0;0;0;0
05/05/2023;00:33:00;-2.758712;0;0;0;0;0
05/05/2023;00:34:00;-2.774345;0;0;0;0;0
05/05/2023;00:35:00;-2.77595;0;0;0;0;0
05/05/2023;00:36:00;-2.662611;0;0;0;0;0
05/05/2023;00:37:00;-2.660936;0;0;0;0;0
05/05/2023;00:38:00;-2.796468;0;0;0;0;0
05/05/2023;00:39:00;-2.77916;0;0;0;0;0
05/05/2023;00:40:00;-2.749011;0;0;0;0;0
05/05/2023;00:41:00;-2.791792;0;0;0;0;0
05/05/2023;00:42:00;-2.8255;0;0;0;0;0
05/05/2023;00:43:00;-3.147719;0;0;0;0;0
05/05/2023;00:44:00;-3.176263;0;0;0;0;0
05/05/2023;00:45:00;-3.142764;0;0;0;0;0
05/05/2023;00:46:00;-2.683967;0;0;0;0;0
05/05/2023;00:47:00;-2.909457;0;0;0;0;0
05/05/2023;00:48:00;-2.921949;0;0;0;0;0
05/05/2023;00:49:00;-2.989436;0;0;0;0;0
05/05/2023;00:50:00;-2.98141;0;0;0;0;0
05/05/2023;00:51:00;-2.946724;0;0;0;0;0
05/05/2023;00:52:00;-3.20362;0;0;0;0;0
05/05/2023;00:53:00;-3.298465;0;0;0;0;0
05/05/2023;00:54:00;-3.172215;0;0;0;0;0
05/05/2023;00:55:00;-3.435391;0;0;0;0;0
05/05/2023;00:56:00;-3.400985;0;0;0;0;0
05/05/2023;00:57:00;-3.081279;0;0;0;0;0
05/05/2023;00:58:00;-2.692132;0;0;0;0;0
05/05/2023;00:59:00;-2.833805;0;0;0;0;0
05/05/2023;01:00:00;-2.879657;0;0;0;0;0
05/05/2023;01:01:00;-2.975827;0;0;0;0;0
05/05/2023;01:02:00;-2.865001;0;0;0;0;0
05/05/2023;01:03:00;-2.868281;0;0;0;0;0
05/05/2023;01:04:00;-2.914133;0;0;0;0;0
05/05/2023;01:05:00;-2.980224;0;0;0;0;0
05/05/2023;01:06:00;-2.949935;0;0;0;0;0
05/05/2023;01:07:00;-2.857394;0;0;0;0;0
05/05/2023;01:08:00;-2.934581;0;0;0;0;0
05/05/2023;01:09:00;-3.064041;0;0;0;0;0
05/05/2023;01:10:00;-3.133481;0;0;0;0;0
05/05/2023;01:11:00;-3.086374;0;0;0;0;0
05/05/2023;01:12:00;-2.858371;0;0;0;0;0
05/05/2023;01:13:00;-2.864513;0;0;0;0;0
05/05/2023;01:14:00;-3.036404;0;0;0;0;0
05/05/2023;01:15:00;-3.200689;0;0;0;0;0
05/05/2023;01:16:00;-3.186312;0;0;0;0;0
05/05/2023;01:17:00;-3.139274;0;0;0;0;0
05/05/2023;01:18:00;-3.011629;0;0;0;0;0
05/05/2023;01:19:00;-3.106054;0;0;0;0;0
05/05/2023;01:20:00;-3.054271;0;0;0;0;0
05/05/2023;01:21:00;-3.101518;0;0;0;0;0
05/05/2023;01:22:00;-3.08107;0;0;0;0;0
05/05/2023;01:23:00;-3.077929;0;0;0;0;0
05/05/2023;01:24:00;-2.895988;0;0;0;0;0
05/05/2023;01:25:00;-2.899198;0;0;0;0;0
05/05/2023;01:26:00;-2.925997;0;0;0;0;0
05/05/2023;01:27:00;-3.0944;0;0;0;0;0
05/05/2023;01:28:00;-3.004511;0;0;0;0;0
05/05/2023;01:29:00;-3.143182;0;0;0;0;0
05/05/2023;01:30:00;-3.229931;0;0;0;0;0
05/05/2023;01:31:00;-3.285204;0;0;0;0;0
05/05/2023;01:32:00;-3.309142;0;0;0;0;0
05/05/2023;01:33:00;-3.200828;0;0;0;0;0
05/05/2023;01:34:00;-3.203969;0;0;0;0;0
05/05/2023;01:35:00;-3.181846;0;0;0;0;0
05/05/2023;01:36:00;-3.230628;0;0;0;0;0
05/05/2023;01:37:00;-3.172494;0;0;0;0;0
05/05/2023;01:38:00;-3.078069;0;0;0;0;0
05/05/2023;01:39:00;-3.074858;0;0;0;0;0
05/05/2023;01:40:00;-2.994321;0;0;0;0;0
05/05/2023;01:41:00;-3.133063;0;0;0;0;0
05/05/2023;01:42:00;-3.005348;0;0;0;0;0
05/05/2023;01:43:00;-2.948609;0;0;0;0;0
05/05/2023;01:44:00;-3.106124;0;0;0;0;0
05/05/2023;01:45:00;-3.074719;0;0;0;0;0
05/05/2023;01:46:00;-3.065158;0;0;0;0;0
05/05/2023;01:47:00;-3.084071;0;0;0;0;0
05/05/2023;01:48:00;-3.147091;0;0;0;0;0
05/05/2023;01:49:00;-3.123432;0;0;0;0;0
05/05/2023;01:50:00;-2.86186;0;0;0;0;0
05/05/2023;01:51:00;-3.047989;0;0;0;0;0
05/05/2023;01:52:00;-2.952308;0;0;0;0;0
05/05/2023;01:53:00;-2.99488;0;0;0;0;0
05/05/2023;01:54:00;-2.936535;0;0;0;0;0
05/05/2023;01:55:00;-3.034311;0;0;0;0;0
05/05/2023;01:56:00;-3.021469;0;0;0;0;0
05/05/2023;01:57:00;-3.046873;0;0;0;0;0
05/05/2023;01:58:00;-3.010582;0;0;0;0;0
05/05/2023;01:59:00;-3.029425;0;0;0;0;0
05/05/2023;02:00:00;-2.959915;0;0;0;0;0
05/05/2023;02:01:00;-2.930184;0;0;0;0;0
05/05/2023;02:02:00;-2.849717;0;0;0;0;0
05/05/2023;02:03:00;-2.950633;0;0;0;0;0
05/05/2023;02:04:00;-3.09412;0;0;0;0;0
05/05/2023;02:05:00;-2.906456;0;0;0;0;0
05/05/2023;02:06:00;-2.857464;0;0;0;0;0
05/05/2023;02:07:00;-2.889288;0;0;0;0;0
05/05/2023;02:08:00;-2.890754;0;0;0;0;0
05/05/2023;02:09:00;-2.950703;0;0;0;0;0
05/05/2023;02:10:00;-2.996554;0;0;0;0;0
05/05/2023;02:11:00;-2.993275;0;0;0;0;0
05/05/2023;02:12:00;-3.03124;0;0;0;0;0
05/05/2023;02:13:00;-3.048478;0;0;0;0;0
05/05/2023;02:14:00;-2.974362;0;0;0;0;0
05/05/2023;02:15:00;-2.908341;0;0;0;0;0
05/05/2023;02:16:00;-2.927253;0;0;0;0;0
05/05/2023;02:17:00;-3.033194;0;0;0;0;0
05/05/2023;02:18:00;-3.058318;0;0;0;0;0
05/05/2023;02:19:00;-3.034799;0;0;0;0;0
05/05/2023;02:20:00;-3.067949;0;0;0;0;0
05/05/2023;02:21:00;-2.797445;0;0;0;0;0
05/05/2023;02:22:00;-2.803656;0;0;0;0;0
05/05/2023;02:23:00;-2.742102;0;0;0;0;0
05/05/2023;02:24:00;-2.754664;0;0;0;0;0
05/05/2023;02:25:00;-2.75927;0;0;0;0;0
05/05/2023;02:26:00;-2.767156;0;0;0;0;0
05/05/2023;02:27:00;-2.803586;0;0;0;0;0
05/05/2023;02:28:00;-2.832061;0;0;0;0;0
05/05/2023;02:29:00;-2.882658;0;0;0;0;0
05/05/2023;02:30:00;-2.950494;0;0;0;0;0
05/05/2023;02:31:00;-3.022935;0;0;0;0;0
05/05/2023;02:32:00;-3.046454;0;0;0;0;0
05/05/2023;02:33:00;-3.071788;0;0;0;0;0
05/05/2023;02:34:00;-3.196083;0;0;0;0;0
05/05/2023;02:35:00;-3.237049;0;0;0;0;0
05/05/2023;02:36:00;-3.287577;0;0;0;0;0
05/05/2023;02:37:00;-3.136273;0;0;0;0;0
05/05/2023;02:38:00;-3.201457;0;0;0;0;0
05/05/2023;02:39:00;-3.209273;0;0;0;0;0
05/05/2023;02:40:00;-3.152534;0;0;0;0;0
05/05/2023;02:41:00;-3.072276;0;0;0;0;0
05/05/2023;02:42:00;-3.092794;0;0;0;0;0
05/05/2023;02:43:00;-2.980991;0;0;0;0;0
05/05/2023;02:44:00;-2.963544;0;0;0;0;0
05/05/2023;02:45:00;-2.90527;0;0;0;0;0
05/05/2023;02:46:00;-2.879936;0;0;0;0;0
05/05/2023;02:47:00;-3.141508;0;0;0;0;0
05/05/2023;02:48:00;-3.152534;0;0;0;0;0
05/05/2023;02:49:00;-3.089095;0;0;0;0;0
05/05/2023;02:50:00;-3.048478;0;0;0;0;0
05/05/2023;02:51:00;-3.011908;0;0;0;0;0
05/05/2023;02:52:00;-2.948818;0;0;0;0;0
05/05/2023;02:53:00;-2.811891;0;0;0;0;0
05/05/2023;02:54:00;-2.76932;0;0;0;0;0
05/05/2023;02:55:00;-2.756827;0;0;0;0;0
05/05/2023;02:56:00;-2.785441;0;0;0;0;0
05/05/2023;02:57:00;-2.907503;0;0;0;0;0
05/05/2023;02:58:00;-2.95175;0;0;0;0;0
05/05/2023;02:59:00;-2.980014;0;0;0;0;0
05/05/2023;03:00:00;-2.789209;0;0;0;0;0
05/05/2023;03:01:00;-2.817405;0;0;0;0;0
05/05/2023;03:02:00;-2.672731;0;0;0;0;0
05/05/2023;03:03:00;-2.696599;0;0;0;0;0
05/05/2023;03:04:00;-2.810146;0;0;0;0;0
05/05/2023;03:05:00;-2.906247;0;0;0;0;0
05/05/2023;03:06:00;-2.918599;0;0;0;0;0
05/05/2023;03:07:00;-2.974082;0;0;0;0;0
05/05/2023;03:08:00;-3.065506;0;0;0;0;0
05/05/2023;03:09:00;-3.223161;0;0;0;0;0
05/05/2023;03:10:00;-3.190221;0;0;0;0;0
05/05/2023;03:11:00;-3.355482;0;0;0;0;0
05/05/2023;03:12:00;-3.148905;0;0;0;0;0
05/05/2023;03:13:00;-3.172773;0;0;0;0;0
05/05/2023;03:14:00;-3.193221;0;0;0;0;0
05/05/2023;03:15:00;-2.969825;0;0;0;0;0
05/05/2023;03:16:00;-2.928859;0;0;0;0;0
05/05/2023;03:17:00;-2.935209;0;0;0;0;0
05/05/2023;03:18:00;-3.006325;0;0;0;0;0
05/05/2023;03:19:00;-2.999974;0;0;0;0;0
05/05/2023;03:20:00;-2.966754;0;0;0;0;0
05/05/2023;03:21:00;-3.056643;0;0;0;0;0
05/05/2023;03:22:00;-3.028309;0;0;0;0;0
05/05/2023;03:23:00;-3.102425;0;0;0;0;0
05/05/2023;03:24:00;-3.105426;0;0;0;0;0
05/05/2023;03:25:00;-3.057969;0;0;0;0;0
05/05/2023;03:26:00;-3.023354;0;0;0;0;0
05/05/2023;03:27:00;-2.939885;0;0;0;0;0
05/05/2023;03:28:00;-3.057969;0;0;0;0;0
05/05/2023;03:29:00;-3.102286;0;0;0;0;0
05/05/2023;03:30:00;-3.220928;0;0;0;0;0
05/05/2023;03:31:00;-3.22009;0;0;0;0;0
05/05/2023;03:32:00;-3.307886;0;0;0;0;0
05/05/2023;03:33:00;-3.325194;0;0;0;0;0
