date;time;Tamb[C];Tin_CampoSolar[C];Tout_CampoSolar[C];Caudal_CampoSolar[C];Tin_Armazenamento[C];Tout_Armazenamento[C];Caudal_Armazenamento[C];Potência_Campo_Solar[kWth];Potência_Armazenamento[kWth];Radiação_DNI[W/m2];Radiação_Global[W/m2]
05/05/2023;00:00:00;16.698028;25;24.91698028;0.5;24.91698028;25;0.5;-0.067116615;0.067116615;-0.85381;-3.281156
05/05/2023;00:01:00;16.731112;24.91698028;24.91781048;0.5;24.91781048;24.91698028;0.5;0.000671137;-0.000671137;-1.125406;-3.120431
05/05/2023;00:02:00;16.78444;24.8351216;24.91780218;0.5;24.91780218;24.8351216;0.5;0.066836649;-0.066836649;-0.968064;-2.85544
05/05/2023;00:03:00;16.758182;24.75461478;24.91697537;0.5;24.91697537;24.75461478;0.5;0.131242087;-0.131242087;-0.572987;-2.861512
05/05/2023;00:04:00;16.663476;24.67465045;24.91535176;0.5;24.91535176;24.67465045;0.5;0.194559417;-0.194559417;-0.497287;-2.885101
05/05/2023;00:05:00;16.645976;24.59453871;24.91294475;0.5;24.91294475;24.59453871;0.5;0.257357114;-0.257357114;-0.509721;-2.897663
05/05/2023;00:06:00;16.593298;24.51505308;24.90976069;0.5;24.90976069;24.51505308;0.5;0.31901523;-0.31901523;-0.40235;-2.997182
05/05/2023;00:07:00;16.55292;24.43583553;24.90581361;0.5;24.90581361;24.43583553;0.5;0.379834537;-0.379834537;-0.834651;-3.318913
05/05/2023;00:08:00;16.561728;24.35700638;24.90111383;0.5;24.90111383;24.35700638;0.5;0.439726223;-0.439726223;-0.796097;-3.167469
05/05/2023;00:09:00;16.578638;24.27905359;24.89567276;0.5;24.89567276;24.27905359;0.5;0.498305383;-0.498305383;-0.73072;-3.039475
05/05/2023;00:10:00;16.522592;24.20204944;24.88950657;0.5;24.88950657;24.20204944;0.5;0.555526911;-0.555526911;-0.644463;-3.033264
05/05/2023;00:11:00;16.566164;24.12525486;24.882632;0.5;24.882632;24.12525486;0.5;0.612001487;-0.612001487;-0.796097;-2.937303
05/05/2023;00:12:00;16.570936;24.04966395;24.87505822;0.5;24.87505822;24.04966395;0.5;0.666933696;-0.666933696;-0.918249;-3.118407
05/05/2023;00:13:00;16.608728;23.97487667;24.86680428;0.5;24.86680428;23.97487667;0.5;0.720662238;-0.720662238;-0.847789;-2.940374
05/05/2023;00:14:00;16.626684;23.90121519;24.85788501;0.5;24.85788501;23.90121519;0.5;0.772939117;-0.772939117;-0.78077;-2.967313
05/05/2023;00:15:00;16.587992;23.82846987;24.84831831;0.5;24.84831831;23.82846987;0.5;0.823948299;-0.823948299;-0.731268;-2.931092
05/05/2023;00:16:00;16.588428;23.7560651;24.83811982;0.5;24.83811982;23.7560651;0.5;0.874167392;-0.874167392;-0.662372;-2.9484
05/05/2023;00:17:00;16.574012;23.68438873;24.82729928;0.5;24.82729928;23.68438873;0.5;0.923291184;-0.923291184;-0.704757;-2.844483
05/05/2023;00:18:00;16.601974;23.61328496;24.81587017;0.5;24.81587017;23.61328496;0.5;0.971456521;-0.971456521;-0.670974;-2.882309
05/05/2023;00:19:00;16.562114;23.54317185;24.80384432;0.5;24.80384432;23.54317185;0.5;1.018335606;-1.018335606;-0.538265;-2.946864
05/05/2023;00:20:00;16.520488;23.47336127;24.79123759;0.5;24.79123759;23.47336127;0.5;1.064496904;-1.064496904;-0.642821;-2.909038
05/05/2023;00:21:00;16.483818;23.40383254;24.77805883;0.5;24.77805883;23.40383254;0.5;1.109964323;-1.109964323;-0.651971;-3.18359
05/05/2023;00:22:00;16.393778;23.33463239;24.76431657;0.5;24.76431657;23.33463239;0.5;1.154707113;-1.154707113;-0.767241;-3.218764
05/05/2023;00:23:00;16.369194;23.26522385;24.75001973;0.5;24.75001973;23.26522385;0.5;1.199165906;-1.199165906;-0.788277;-3.09433
05/05/2023;00:24:00;16.36375;23.19626355;24.73517177;0.5;24.73517177;23.19626355;0.5;1.242813615;-1.242813615;-0.869842;-2.94149
05/05/2023;00:25:00;16.43644;23.12793841;24.71978268;0.5;24.71978268;23.12793841;0.5;1.285507596;-1.285507596;-0.84685;-2.949377
05/05/2023;00:26:00;16.412302;23.06102343;24.70386424;0.5;24.70386424;23.06102343;0.5;1.326632211;-1.326632211;-0.749645;-3.025028
05/05/2023;00:27:00;16.430992;22.99453622;24.68743583;0.5;24.68743583;22.99453622;0.5;1.366995951;-1.366995951;-0.742294;-3.066065
05/05/2023;00:28:00;16.396272;22.92890077;24.67050684;0.5;24.67050684;22.92890077;0.5;1.406264443;-1.406264443;-0.850369;-3.067531
05/05/2023;00:29:00;16.421152;22.86357449;24.65309078;0.5;24.65309078;22.86357449;0.5;1.444886484;-1.444886484;-0.742451;-3.015677
05/05/2023;00:30:00;16.338438;22.79915026;24.63519561;0.5;24.63519561;22.79915026;0.5;1.482390346;-1.482390346;-0.607943;-3.147998
